timestamp,open,high,low,close
1787229000000,4460.175,4461.595,4457.515,4458.835
1787229060000,4458.735,4458.845,4455.065,4455.575
1787229120000,4455.465,4455.945,4454.115,4455.575
1787229180000,4455.495,4456.275,4453.115,4455.575
1787229240000,4455.755,4456.255,4451.525,4453.795
1787229300000,4453.665,4457.085,4453.075,4454.675
1787229360000,4454.625,4457.285,4452.165,4457.185
1787229420000,4457.295,4460.605,4457.295,4459.585
1787229480000,4459.575,4459.845,4457.855,4459.675
1787229540000,4459.625,4463.725,4458.955,4463.485
1787229600000,4463.375,4465.805,4462.515,4465.405
1787229660000,4465.305,4466.195,4463.725,4464.455
1787229720000,4464.455,4464.865,4460.435,4460.775
1787229780000,4460.585,4466.735,4460.585,4466.675
1787229840000,4466.675,4467.485,4465.535,4467.095
1787229900000,4467.005,4467.165,4464.455,4466.225
1787229960000,4466.325,4468.105,4466.325,4467.345
1787230020000,4467.335,4469.655,4466.985,4468.705
1787230080000,4468.625,4471.655,4468.475,4471.335
1787230140000,4471.315,4471.895,4470.085,4471.735
1787230200000,4471.665,4472.065,4470.445,4471.815
1787230260000,4471.915,4474.615,4471.915,4474.315
1787230320000,4474.305,4475.725,4473.285,4473.475
1787230380000,4473.475,4474.195,4472.475,4472.695
1787230440000,4472.645,4473.385,4472.225,4472.475
1787230500000,4472.905,4473.605,4472.145,4473.265
1787230560000,4473.265,4474.425,4472.365,4474.175
1787230620000,4474.175,4475.555,4473.355,4474.205
1787230680000,4474.205,4477.455,4474.185,4476.965
1787230740000,4476.805,4476.805,4474.335,4475.105
1787230800000,4475.225,4482.555,4474.305,4482.165
1787230860000,4482.025,4484.815,4481.165,4484.025
1787230920000,4484.135,4484.255,4480.665,4482.315
1787230980000,4482.315,4482.755,4479.765,4479.905
1787231040000,4480.075,4482.175,4477.645,4478.855
1787231100000,4479.055,4480.635,4476.755,4478.555
1787231160000,4478.555,4479.345,4477.505,4477.855
1787231220000,4477.855,4478.625,4476.965,4478.075
1787231280000,4477.955,4478.135,4474.445,4475.115
1787231340000,4475.115,4475.975,4473.365,4474.095
1787231400000,4474.095,4476.095,4473.535,4474.225
1787231460000,4474.225,4475.015,4472.785,4473.385
1787231520000,4473.305,4475.125,4472.545,4473.945
1787231580000,4473.955,4475.915,4473.235,4475.185
1787231640000,4475.135,4475.215,4472.265,4473.275
1787231700000,4473.295,4473.535,4471.545,4472.745
1787231760000,4472.685,4475.805,4471.215,4475.205
1787231820000,4475.085,4475.635,4473.325,4475.135
1787231880000,4475.535,4476.055,4474.195,4475.135
1787231940000,4475.265,4477.045,4474.715,4475.225
1787232000000,4475.335,4476.545,4474.055,4474.445
1787232060000,4474.585,4476.985,4474.255,4475.045
1787232120000,4474.855,4475.685,4472.465,4472.535
1787232180000,4472.535,4474.935,4471.895,4474.495
1787232240000,4474.565,4475.305,4473.165,4474.465
1787232300000,4474.325,4474.755,4472.045,4472.675
1787232360000,4472.605,4473.985,4471.515,4473.485
1787232420000,4473.645,4474.335,4472.875,4474.295
1787232480000,4474.115,4474.745,4472.295,4472.845
1787232540000,4472.835,4473.305,4470.545,4472.195
1787232600000,4472.325,4477.805,4472.215,4472.545
1787232660000,4472.485,4475.615,4470.215,4470.885
1787232720000,4470.985,4474.615,4469.685,4473.045
1787232780000,4473.045,4476.205,4470.355,4475.395
1787232840000,4475.415,4476.385,4474.105,4476.105
1787232900000,4476.075,4486.155,4475.185,4483.955
1787232960000,4483.955,4485.925,4482.135,4483.145
1787233020000,4482.905,4484.715,4479.385,4482.345
1787233080000,4482.505,4485.865,4481.975,4484.525
1787233140000,4484.525,4487.025,4482.875,4484.195
1787233200000,4484.225,4484.275,4479.475,4480.265
1787233260000,4480.275,4485.405,4478.345,4485.315
1787233320000,4485.165,4486.785,4483.885,4485.715
1787233380000,4485.725,4488.265,4485.325,4486.985
1787233440000,4486.935,4487.375,4485.905,4487.125
1787233500000,4487.125,4489.735,4485.515,4485.875
1787233560000,4485.625,4487.175,4483.925,4484.415
1787233620000,4484.355,4484.355,4481.045,4483.795
1787233680000,4483.695,4484.395,4481.155,4483.115
1787233740000,4483.115,4484.575,4480.425,4482.625
1787233800000,4482.465,4483.935,4481.335,4483.285
1787233860000,4483.305,4483.845,4481.665,4482.365
1787233920000,4482.365,4486.565,4481.495,4486.565
1787233980000,4486.545,4486.965,4483.475,4483.545
1787234040000,4483.545,4486.235,4482.255,4486.125
1787234100000,4486.135,4487.315,4483.205,4484.405
1787234160000,4484.365,4485.025,4482.645,4482.695
1787234220000,4482.835,4483.055,4481.165,4481.225
1787234280000,4481.265,4483.095,4479.705,4482.155
1787234340000,4482.445,4482.755,4480.485,4482.035
1787234400000,4481.975,4488.955,4481.905,4488.895
1787234460000,4488.765,4490.165,4487.395,4489.575
1787234520000,4489.635,4491.105,4487.725,4487.765
1787234580000,4487.785,4487.945,4483.835,4485.045
1787234640000,4484.945,4486.055,4482.685,4483.735
1787234700000,4483.885,4483.995,4482.485,4482.745
1787234760000,4482.745,4486.925,4481.125,4483.615
1787234820000,4483.565,4484.745,4481.585,4484.555
1787234880000,4484.565,4486.275,4483.775,4485.125
1787234940000,4485.245,4487.045,4483.675,4485.715
1787235000000,4484.765,4487.275,4483.915,4487.255
1787235060000,4487.255,4489.235,4484.515,4487.195
1787235120000,4487.315,4488.245,4486.595,4488.025
1787235180000,4488.025,4489.495,4485.335,4485.365
1787235240000,4485.315,4486.285,4484.175,4485.375
1787235300000,4485.275,4487.125,4484.065,4486.885
1787235360000,4486.885,4487.945,4485.595,4487.875
1787235420000,4487.865,4489.905,4486.575,4487.845
1787235480000,4487.795,4489.475,4487.375,4488.205
1787235540000,4488.155,4488.195,4482.115,4482.385
1787235600000,4482.545,4487.815,4481.915,4487.775
1787235660000,4487.705,4491.315,4487.085,4489.285
1787235720000,4489.315,4489.365,4487.165,4487.795
1787235780000,4487.915,4491.855,4487.045,4491.685
1787235840000,4491.715,4494.225,4491.195,4491.195
1787235900000,4491.195,4492.595,4490.195,4490.285
